Fra_dato;Til_dato;Mængde;Måleenhed;Kvalitet;Type
03-06-2024 22:00:00;03-06-2024 23:00:00;0,112;KWH;Målt;Tidsserie
03-06-2024 23:00:00;04-06-2024 00:00:00;0,104;KWH;Målt;Tidsserie
04-06-2024 00:00:00;04-06-2024 01:00:00;0,144;KWH;Målt;Tidsserie
04-06-2024 01:00:00;04-06-2024 02:00:00;0,093;KWH;Målt;Tidsserie
04-06-2024 02:00:00;04-06-2024 03:00:00;0,353;KWH;Målt;Tidsserie
04-06-2024 03:00:00;04-06-2024 04:00:00;0,644;KWH;Målt;Tidsserie
04-06-2024 04:00:00;04-06-2024 05:00:00;0,093;KWH;Målt;Tidsserie
04-06-2024 05:00:00;04-06-2024 06:00:00;0,137;KWH;Målt;Tidsserie
04-06-2024 06:00:00;04-06-2024 07:00:00;0,294;KWH;Målt;Tidsserie
04-06-2024 07:00:00;04-06-2024 08:00:00;0,127;KWH;Målt;Tidsserie
04-06-2024 08:00:00;04-06-2024 09:00:00;0,188;KWH;Målt;Tidsserie
04-06-2024 09:00:00;04-06-2024 10:00:00;0,193;KWH;Målt;Tidsserie
04-06-2024 10:00:00;04-06-2024 11:00:00;0,125;KWH;Målt;Tidsserie
04-06-2024 11:00:00;04-06-2024 12:00:00;0,132;KWH;Målt;Tidsserie
04-06-2024 12:00:00;04-06-2024 13:00:00;0,657;KWH;Målt;Tidsserie
04-06-2024 13:00:00;04-06-2024 14:00:00;0,104;KWH;Målt;Tidsserie
04-06-2024 14:00:00;04-06-2024 15:00:00;0,333;KWH;Målt;Tidsserie
04-06-2024 15:00:00;04-06-2024 16:00:00;0,109;KWH;Målt;Tidsserie
04-06-2024 16:00:00;04-06-2024 17:00:00;0,108;KWH;Målt;Tidsserie
04-06-2024 17:00:00;04-06-2024 18:00:00;0,094;KWH;Målt;Tidsserie
04-06-2024 18:00:00;04-06-2024 19:00:00;0,088;KWH;Målt;Tidsserie
04-06-2024 19:00:00;04-06-2024 20:00:00;0,125;KWH;Målt;Tidsserie
04-06-2024 20:00:00;04-06-2024 21:00:00;0,083;KWH;Målt;Tidsserie
04-06-2024 21:00:00;04-06-2024 22:00:00;0,085;KWH;Målt;Tidsserie
04-06-2024 22:00:00;04-06-2024 23:00:00;0,119;KWH;Målt;Tidsserie
04-06-2024 23:00:00;05-06-2024 00:00:00;0,096;KWH;Målt;Tidsserie
05-06-2024 00:00:00;05-06-2024 01:00:00;0,09;KWH;Målt;Tidsserie
05-06-2024 01:00:00;05-06-2024 02:00:00;0,09;KWH;Målt;Tidsserie
05-06-2024 02:00:00;05-06-2024 03:00:00;0,179;KWH;Målt;Tidsserie
05-06-2024 03:00:00;05-06-2024 04:00:00;0,101;KWH;Målt;Tidsserie
05-06-2024 04:00:00;05-06-2024 05:00:00;0,086;KWH;Målt;Tidsserie
05-06-2024 05:00:00;05-06-2024 06:00:00;0,098;KWH;Målt;Tidsserie
05-06-2024 06:00:00;05-06-2024 07:00:00;0,112;KWH;Målt;Tidsserie
05-06-2024 07:00:00;05-06-2024 08:00:00;0,099;KWH;Målt;Tidsserie
05-06-2024 08:00:00;05-06-2024 09:00:00;0,082;KWH;Målt;Tidsserie
05-06-2024 09:00:00;05-06-2024 10:00:00;0,08;KWH;Målt;Tidsserie
05-06-2024 10:00:00;05-06-2024 11:00:00;0,138;KWH;Målt;Tidsserie
05-06-2024 11:00:00;05-06-2024 12:00:00;0,083;KWH;Målt;Tidsserie
05-06-2024 12:00:00;05-06-2024 13:00:00;0,077;KWH;Målt;Tidsserie
05-06-2024 13:00:00;05-06-2024 14:00:00;0,146;KWH;Målt;Tidsserie
05-06-2024 14:00:00;05-06-2024 15:00:00;0,087;KWH;Målt;Tidsserie
05-06-2024 15:00:00;05-06-2024 16:00:00;0,088;KWH;Målt;Tidsserie
